ID,CLASSIFIED,TYPE,SUMMARY,Alan Ratings,Aaron Ratings,Lotfi Ratings
SPARK-33273,BUG,BUG,Fix Flaky Test: ThriftServerQueryTestSuite.,BUG,BUG,BUG
SPARK-33395,BUG,BUG,Spark reading data in scientific notation,BUG,BUG,BUG
SPARK-33071,BUG,BUG,Join with ambiguous column succeeding but giving wrong output,BUG,BUG,BUG
SPARK-32007,BUG,BUG,Spark Driver Supervise does not work reliably,BUG,BUG,BUG
SPARK-33031,BUG,BUG,scheduler with blacklisting doesn't appear to pick up new executor added,BUG,BUG,BUG
SPARK-28367,BUG,BUG,Kafka connector infinite wait because metadata never updated,BUG,BUG,BUG
SPARK-28001,BUG,BUG,Dataframe throws 'socket.timeout: timed out' exception,BUG,BUG,BUG
SPARK-9182,BUG,BUG,filter and groupBy on DataFrames are not passed through to jdbc source,BUG,BUG,BUG
SPARK-31693,BUG,BUG,Investigate AmpLab Jenkins server network issue,BUG,BUG,BUG
SPARK-31236,BUG,BUG,Spark error while consuming data from Kinesis direct end point,BUG,BUG,BUG
SPARK-26836,BUG,BUG,Columns get switched in Spark SQL using Avro backed Hive table if schema evolves,BUG,BUG,BUG
SPARK-24098,BUG,BUG,ScriptTransformationExec should wait process exiting before output iterator finish,BUG,BUG,BUG
SPARK-24338,BUG,BUG,Spark SQL fails to create a Hive table when running in a Apache Sentry-secured Environment,BUG,BUG,BUG
SPARK-33445,BUG,BUG,Can't parse decimal type from csv file,BUG,BUG,BUG
SPARK-33440,BUG,BUG,Spark schedules on updating delegation token with 0 interval under some token provider implementation,BUG,BUG,BUG
SPARK-32681,NUG,NUG,PySpark type hints support,NUG,NUG,NUG
SPARK-7768,NUG,NUG,Make user-defined type (UDT) API public,NUG,NUG,NUG
SPARK-3162,NUG,NUG,Train DecisionTree locally when possible,NUG,NUG,NUG
SPARK-33416,NUG,NUG,Avoid Hive metastore stack overflow when InSet predicate have many values,NUG,NUG,NUG
SPARK-33454,NUG,NUG,Add GitHub Action job for Hadoop 2,NUG,NUG,NUG
SPARK-33449,NUG,NUG,Add cache for Parquet Metadata,NUG,NUG,NUG
SPARK-33447,NUG,NUG,"Stage level scheduling, allow specifying other spark configs via ResourceProfile",NUG,NUG,NUG
SPARK-33446,BUG,NUG,Add config spark.executor.coresOverhead,BUG,BUG,BUG
SPARK-32582,NUG,NUG,Spark SQL Infer Schema Performance,NUG,NUG,NUG
SPARK-33143,NUG,NUG,Make SocketAuthServer socket timeout configurable,NUG,NUG,NUG
SPARK-33437,NUG,NUG,Support CACHE TABLE command in DSv2,NUG,NUG,NUG
SPARK-23499,NUG,NUG,Mesos Cluster Dispatcher should support priority queues to submit drivers,NUG,NUG,NUG
SPARK-33438,BUG,BUG,set -v couldn't dump all the conf entries,BUG,BUG,BUG
SPARK-33332,BUG,BUG,Errors in running spark job on K8 with RPC Authentication Secret File properties,BUG,BUG,BUG
SPARK-33152,BUG,BUG,Constraint Propagation code causes OOM issues or increasing compilation time to hours,BUG,BUG,BUG
SPARK-33427,NUG,NUG,Interpreted subexpression elimination,NUG,NUG,NUG
SPARK-29250,NUG,NUG,Upgrade to Hadoop 3.3.0,NUG,NUG,NUG
SPARK-33411,NUG,NUG,"Cardinality estimation of union, range and sort logical operators",NUG,BUG,NUG
SPARK-32240,BUG,BUG,UDF parse_url with a URL that contains pipe(|) will give incorrect result,BUG,BUG,BUG
SPARK-33383,NUG,NUG,Improve performance of Column.isin Expression,NUG,NUG,NUG
SPARK-33128,BUG,BUG,mismatched input since Spark 3.0,BUG,BUG,BUG
SPARK-33420,BUG,BUG,BroadCastJoin failure when keys on join side has cast from DateTyte to String,BUG,BUG,BUG
SPARK-26825,BUG,BUG,Spark Structure Streaming job failing when submitted in cluster mode,BUG,BUG,BUG
SPARK-33401,BUG,BUG,Vector type column is not possible to create using spark SQL,BUG,BUG,BUG
SPARK-33409,BUG,BUG,Spark job can not be killed in BoradcastNestedLoopJoin,BUG,BUG,BUG
SPARK-33330,BUG,BUG,Catalyst StringType converter unable to convert enum type,BUG,BUG,BUG
SPARK-33388,NUG,NUG,Merge In and InSet predicate,NUG,NUG,NUG
SPARK-33187,NUG,NUG,Add a check on the number of returned partitions in the HiveShim#getPartitionsByFilter method,NUG,NUG,NUG
SPARK-33407,NUG,NUG,Simplify the exception message from Python UDFs,NUG,NUG,NUG
SPARK-33406,BUG,BUG,k8s pyspark shell doesn't honor pyspark memory setting,BUG,BUG,BUG
SPARK-31911,BUG,BUG,"Using S3A staging committer, pending uploads are committed more than once and listed incorrectly in _SUCCESS data",BUG,BUG,BUG
SPARK-22903,BUG,BUG,AlreadyBeingCreatedException in stage retry caused by wrong attemptNumber,BUG,BUG,BUG
SPARK-33398,BUG,BUG,AnalysisException when loading a PipelineModel with Spark 3,BUG,BUG,BUG
SPARK-33373,BUG,BUG,A serialized ImputerModel fails to be serialized again,BUG,BUG,BUG
SPARK-33326,BUG,BUG,Partition Parameters are not updated even after ANALYZE TABLE command,BUG,BUG,BUG
SPARK-33327,BUG,BUG,grouped by first and last against date column returns incorrect results,BUG,BUG,BUG
SPARK-33301,BUG,BUG,Code grows beyond 64 KB when compiling large CaseWhen,BUG,BUG,BUG
SPARK-33361,BUG,BUG,Dataset.observe() functionality does not work with structured streaming,BUG,BUG,BUG
SPARK-33358,BUG,BUG,Spark SQL CLI command processing loop can't exit while one comand fail,BUG,BUG,BUG
SPARK-33336,BUG,BUG,provided an invalid fromOffset when spark streaming running,BUG,BUG,BUG
SPARK-33357,NUG,NUG,Support SparkLauncher in Kubernetes,NUG,NUG,NUG
SPARK-33334,NUG,NUG,Spark to Handle Nano seconds in Timestamps,NUG,NUG,NUG
SPARK-33354,NUG,NUG,New explicit cast syntax rules in ANSI mode,NUG,NUG,NUG
SPARK-33351,NUG,NUG,WithColumn should add a column with specific position,NUG,NUG,NUG
SPARK-33277,BUG,BUG,Python/Pandas UDF right after off-heap vectorized reader could cause executor crash.,BUG,BUG,BUG
SPARK-32894,BUG,BUG,Timestamp cast in exernal orc table,BUG,BUG,BUG
SPARK-33325,BUG,BUG,Spark executors pod are not shutting down when losing driver connection,BUG,BUG,BUG
SPARK-33340,BUG,BUG,spark run on kubernetes has Could not load KUBERNETES classes issue,BUG,BUG,BUG
SPARK-33328,BUG,BUG,Fix Flaky HiveThriftHttpServerSuite,BUG,BUG,BUG
SPARK-33295,NUG,NUG,Upgrade ORC to 1.6.6,NUG,NUG,NUG
SPARK-33150,BUG,BUG,Groupby key may not be unique when using window,NUG,BUG,BUG
SPARK-33245,NUG,NUG,Add built-in UDF - GETBIT,NUG,NUG,NUG
SPARK-24432,NUG,NUG,Add support for dynamic resource allocation,NUG,NUG,NUG
SPARK-33320,BUG,BUG,ExecutorMetrics are not written to CSV and StatsD sinks,BUG,BUG,BUG
SPARK-28180,BUG,BUG,Encoding CSV to Pojo works with Encoders.bean on RDD but fail on asserts when attemtping it from a Dataset<Row>,BUG,BUG,BUG
SPARK-33060,BUG,BUG,approxSimilarityJoin in Structured Stream causes state to explode in size,BUG,BUG,BUG
SPARK-28094,BUG,BUG,Multiple left joins or aggregations in one query produce incorrect results,BUG,BUG,BUG
SPARK-33304,NUG,NUG,Add from_avro and to_avro functions to SparkR,NUG,NUG,NUG
SPARK-33311,NUG,NUG,Improve semantics for REFRESH TABLE,NUG,NUG,NUG
SPARK-33307,NUG,NUG,Refact GROUPING ANALYTICS,NUG,NUG,NUG
SPARK-29683,BUG,BUG,Job failed due to executor failures all available nodes are blacklisted,BUG,BUG,BUG
SPARK-33098,BUG,BUG,Explicit or implicit casts involving partition columns can sometimes result in a MetaException.,BUG,BUG,BUG
SPARK-33280,BUG,BUG,Spark 3.0 serialization issue,BUG,BUG,BUG
SPARK-32591,NUG,NUG,Add better api docs for stage level scheduling Resources,NUG,NUG,NUG
SPARK-27733,NUG,NUG,Upgrade to Avro 1.10.0,NUG,NUG,NUG
SPARK-33275,NUG,NUG,ANSI mode: runtime errors instead of returning null,NUG,NUG,NUG
SPARK-33266,NUG,NUG,"Add total duration, read duration, and write duration as task level metrics",NUG,NUG,NUG
SPARK-33138,NUG,NUG,unify temp view and permanent view behaviors,NUG,NUG,NUG
SPARK-32703,NUG,NUG,Enable dictionary filtering for Parquet vectorized reader,NUG,NUG,NUG
SPARK-33247,NUG,NUG,Improve examples and scenarios in docstrings,NUG,NUG,NUG
SPARK-32195,NUG,NUG,Standardize warning types and messages,NUG,NUG,NUG
SPARK-33241,NUG,NUG,Dynamic pruning for data column,NUG,NUG,NUG
SPARK-32797,NUG,NUG,Install mypy on the Jenkins CI workers,NUG,NUG,NUG
SPARK-32194,NUG,NUG,Standardize exceptions in PySpark,NUG,NUG,NUG
SPARK-33235,NUG,NUG,Push-based Shuffle Phase 2 Tasks,NUG,NUG,NUG
SPARK-30602,NUG,NUG,SPIP: Support push-based shuffle to improve shuffle efficiency,NUG,NUG,NUG
SPARK-33220,NUG,NUG,`scheduleAtFixedRate` change to `schedulerWithFixedDelay` to avoid repeated unecessary scheduling for a short time,NUG,NUG,NUG
SPARK-33195,BUG,BUG,stages/stage UI page fails to load when spark reverse proxy is enabled,BUG,BUG,BUG
SPARK-33227,BUG,BUG,Add Jar with Azure SAS token fails with URL encoded characters,NUG,BUG,BUG
SPARK-31069,NUG,NUG,high cpu caused by chunksBeingTransferred in external shuffle service,NUG,NUG,NUG
SPARK-33207,NUG,NUG,Reduce the number of tasks launched after bucket pruning,NUG,NUG,NUG
SPARK-32461,NUG,NUG,Shuffled hash join improvement,NUG,NUG,NUG
SPARK-33122,NUG,NUG,Remove redundant aggregates in the Optimzier,NUG,NUG,NUG
SPARK-33222,NUG,NUG,Expose missing information (graphs) on SS UI,NUG,NUG,NUG
SPARK-29038,NUG,NUG,SPIP: Support Spark Materialized View,NUG,NUG,NUG
SPARK-26764,NUG,NUG,Spark Relational Cache,NUG,NUG,NUG
SPARK-33200,NUG,NUG,Validate that all shuffle files are migrated during E2E testing,NUG,NUG,NUG
SPARK-33199,BUG,BUG,Mesos Task Failed when pyFiles and docker image option used together,BUG,BUG,BUG
SPARK-33194,BUG,BUG,Spark 3.0 streaming metrics are not in Prometheus,BUG,BUG,BUG
SPARK-33133,BUG,BUG,History server fails when loading invalid rolling event logs,BUG,BUG,BUG
SPARK-33192,BUG,BUG,on k8s dynamic resource allocation failed,BUG,BUG,BUG
SPARK-31760,NUG,NUG,Simplification Based on Containment,NUG,NUG,NUG
SPARK-33178,NUG,NUG,Dynamic Scaling In/Scaling out of executors - Kubernetes,NUG,NUG,NUG
SPARK-32323,BUG,BUG,Javascript/HTML bug in spark application UI,BUG,BUG,BUG
SPARK-33161,BUG,BUG,Partition count changing on dataframe select cols,BUG,BUG,BUG
SPARK-32838,BUG,BUG,Connot overwite different partition with same table,BUG,BUG,BUG
SPARK-33085,BUG,BUG,"""Master removed our application"" error leads to FAILED driver status instead of KILLED driver status",BUG,BUG,BUG
SPARK-31513,NUG,NUG,Improve the structure of auto-generated built-in function pages in SQL references,NUG,NUG,NUG
SPARK-32342,BUG,BUG,Kafka events are missing magic byte,BUG,BUG,BUG
