ID,CLASSIFIED,TYPE,SUMMARY
HTTPCLIENT-1066,NUG,BUG,HTTPClient 4.1 auto slash removal
HTTPCLIENT-1111,NUG,IMPROVEMENT,Setting SSLSocket parameters
HTTPCLIENT-222,NUG,BUG,Via NTLM proxy to SSL Apache BasicAuth. - worked in may 22nd but broken in beta1
HTTPCLIENT-381,NUG,BUG,HttpState PREEMPTIVE PROPERTY removed.
HTTPCLIENT-692,NUG,IMPROVEMENT,ClientConnectionManager should throw InterruptedException
HTTPCLIENT-1001,BUG,BUG,CacheEntryUpdater does not properly update cache entry resource
HTTPCLIENT-1002,BUG,BUG,Stale connections are never detected when wireLog.isDebugEnabled true
HTTPCLIENT-1009,BUG,BUG,http client cache SizeLimitedResponseReader is not setting content type for InputStreamEntity in constructResponse
HTTPCLIENT-1011,BUG,IMPROVEMENT,CachingHttpClient.execute does not catch the IOException thrown by HttpCache.getCacheEntry
HTTPCLIENT-1024,BUG,BUG,cache does not validate multiple cached variants
HTTPCLIENT-103,BUG,BUG,ChunkedInputStream incorrectly handles chunksize without semicolon
HTTPCLIENT-1031,BUG,BUG,Cannot clone BasicClientCookie2 without specified ports
HTTPCLIENT-1038,BUG,BUG,AbstractHttpClient.determineTarget HttpUriRequest
HTTPCLIENT-1039,BUG,BUG,AbstractHttpClient.determineTarget does not recognize target host correctly
HTTPCLIENT-1041,BUG,BUG,Enabling wire logging changes isEof isStale behavior
HTTPCLIENT-1045,BUG,BUG,HttpGet request not being created when parameter url is present
HTTPCLIENT-105,BUG,BUG,ChunkedInputStream broken 2 bugs fixes 1 suggestion
HTTPCLIENT-1051,BUG,BUG,SSL connections cannot be established using resolvable IP address
HTTPCLIENT-1053,BUG,BUG,Security issue - DigestScheme uses constant nonce count value
HTTPCLIENT-1056,BUG,BUG,Wrong creation of AuthScope object
HTTPCLIENT-1058,BUG,BUG,SO TIMEOUT not set early enough for SOCKS proxies in PlainSocketFactory
HTTPCLIENT-1061,BUG,BUG,Proxy-Authorization header received on server side
HTTPCLIENT-1069,BUG,BUG,HttpClient 4.1 ignores request retry handler and stops retrying when a read timeout is followed by a connection refusal
HTTPCLIENT-107,BUG,BUG,HttpMethodBase Port mismatch in URL for redirect to absolute location
HTTPCLIENT-1073,BUG,BUG,cache module generates exceptions for non-compliant responses without consuming response bodies
HTTPCLIENT-1075,BUG,BUG,ContentEncodingHttpClient.execute HttpGet ResponseHandler throws IOException when reading compressed response
HTTPCLIENT-1078,BUG,BUG,DecompressingEntity not calling close on InputStream retrieved by getContent
HTTPCLIENT-1079,BUG,BUG,Kerberos cross-realm support is broken
HTTPCLIENT-1087,BUG,BUG,Proxy authentication error Unexpected state MSG TYPE3 GENERATED when using NTLM authentication
HTTPCLIENT-11,BUG,BUG,null domains break Cookie.java
HTTPCLIENT-1100,BUG,BUG,Missing Content-Length header makes cached entry invalid
HTTPCLIENT-1103,BUG,BUG,GzipDecompressingEntity and therefore ContentEncodingHttpClient not consistent with EntityUtils.consumeEntity
HTTPCLIENT-1107,BUG,BUG,HttpClient does not retry authentication when multiple challenges are present if the primary one fails
HTTPCLIENT-1113,BUG,BUG,Error downloading text file with gzip content encoding
HTTPCLIENT-1116,BUG,BUG,ResponseCachingPolicy uses integers for sizes
HTTPCLIENT-112,BUG,BUG,HttpClient incorrectly handles Transfer-Encoding header
HTTPCLIENT-1120,BUG,BUG,DefaultHttpRequestRetryHandler retryRequest should not retry aborted requests
HTTPCLIENT-1122,BUG,BUG,NPE in RequestProxyAuthentication on Android
HTTPCLIENT-1127,BUG,BUG,Deadlock between SingleClientConnManager.releaseConnection and SingleClientConnManager.shutdown
HTTPCLIENT-1129,BUG,,Redirect and Kerberos authentication in conflict
HTTPCLIENT-113,BUG,BUG,NullPointerException in HttpMethodBase.getResponseBodyAsString
HTTPCLIENT-1130,BUG,BUG,New LaxRedirectStrategy class should probably call the super method first.
HTTPCLIENT-1136,BUG,BUG,BasicClientConnectionManager.releaseConnection accesses poolEntry using non-standard lock
HTTPCLIENT-1139,BUG,BUG,NTLM Authentication No Longer Working In Latest Release
HTTPCLIENT-1140,BUG,BUG,Infinite loop on basic authentication
HTTPCLIENT-1142,BUG,BUG,Infinite loop on NTLM authentication
HTTPCLIENT-1143,BUG,BUG,CachingHttpClient leaks connections with stale-if-error
HTTPCLIENT-1147,BUG,BUG,When HttpClient-Cache cannot open cache file should act like miss
HTTPCLIENT-1152,BUG,BUG,org.apache.http.impl.client.cache.memcached.MemcachedHttpCacheStorage should verify class of returned object before casting
HTTPCLIENT-116,BUG,BUG,Request Response race condition when doing multiple requests on the same connection.
HTTPCLIENT-1166,BUG,BUG,URIUtils.extractHost ... throws a NumberFormatException line 310
HTTPCLIENT-1177,BUG,BUG,HttpClient treats URI fragments in redirect URIs incosistently
HTTPCLIENT-1180,BUG,BUG,NullPointerException when using HttpHead and Request Response interceptors
HTTPCLIENT-119,BUG,BUG, PATCH FilePart fails to send data on second call to send
HTTPCLIENT-12,BUG,BUG,double encoding of URLs
HTTPCLIENT-121,BUG,BUG,Cookie.java blowing up on cookies from country code domains
HTTPCLIENT-122,BUG,BUG,HttpMultiClient reuses closed connections
HTTPCLIENT-124,BUG,BUG,MultipartPost closes input stream
HTTPCLIENT-125,BUG,BUG,empty host header with ip address
HTTPCLIENT-128,BUG,BUG,Redirection of a POST method
HTTPCLIENT-13,BUG,BUG,empty path not handled correctly
HTTPCLIENT-135,BUG,BUG,Possible HttpClient codepage issue ascii ebcdic on WebSphere z OS
HTTPCLIENT-142,BUG,BUG,Test case failure for testConnTimeout
HTTPCLIENT-147,BUG,BUG,HttpClient enter 100 for endless time
HTTPCLIENT-148,BUG,BUG,Redirect to a relative URL fails
HTTPCLIENT-149,BUG,BUG,303 Redirects are not handled properly
HTTPCLIENT-15,BUG,BUG,redirect not handled correctly if location header doesn t have a protocol
HTTPCLIENT-150,BUG,BUG,StringIndexOutOfBound exception in RFC2109 cookie validate when host name contains no domain information and is short in length than the cookie domain.
HTTPCLIENT-151,BUG,BUG,CookieSpec.formatCookie Cookie produces an incorrect cookie header value
HTTPCLIENT-156,BUG,BUG,NullPointerException thrown when invalid header encountered
HTTPCLIENT-158,BUG,BUG,Empty response body is not properly handled when chunked encoding is used
HTTPCLIENT-161,BUG,BUG,MultipartPostMethod Holding File Stream Open
HTTPCLIENT-163,BUG,BUG,HttpClient does not compile out of the box in IBM s VisualAge IDE
HTTPCLIENT-165,BUG,BUG, 100-continue response times out unexpectedly
HTTPCLIENT-167,BUG,BUG,SSL Tunneling does not work with MultiThreadedHttpConnectionManager
HTTPCLIENT-169,BUG,BUG,Cookies with null value are not formatted correctly
HTTPCLIENT-175,BUG,BUG,HttpState cannot differentiate credentials for different hosts with same Realm names
HTTPCLIENT-176,BUG,BUG,Unusual Http status line
HTTPCLIENT-179,BUG,BUG,HTTPS Post Does Not Work
HTTPCLIENT-182,BUG,BUG,httpclient charset encooding loosing problem
HTTPCLIENT-184,BUG,BUG,org.apache.commons.httpclient.HeaderElement fail to parse cookie header
HTTPCLIENT-185,BUG,BUG,Ordering of methods in PostMethod changes behaviour
HTTPCLIENT-188,BUG,BUG,recoverable exceptions when reading are not retried
HTTPCLIENT-19,BUG,BUG,Response Folded Headers throws HttpException
HTTPCLIENT-190,BUG,BUG,SetCookie DateParser failing to parse non-standard date format
HTTPCLIENT-191,BUG,BUG,NTLM Authentication Fails
HTTPCLIENT-192,BUG,BUG,Duplicate request headers when connect through proxies
HTTPCLIENT-195,BUG,BUG,NTLM authentication failed due to closing of connection
HTTPCLIENT-196,BUG,BUG,httpClient failed to reconnect after keep-alive connection timed out
HTTPCLIENT-197,BUG,BUG,Problem with redirect on HEAD when bad naughty server returns body content
HTTPCLIENT-198,BUG,BUG,The PostMethod did not bring back response headers from proxy servers
HTTPCLIENT-202,BUG,BUG,GetMethod.java checks the used flag which cannot be set at this time
HTTPCLIENT-204,BUG,BUG,StackOverflowError in HttpConnection
HTTPCLIENT-205,BUG,BUG,HttpMethodBase String incorrectly encoding URI
HTTPCLIENT-208,BUG,BUG,Netscape proxy problem wtih POST
HTTPCLIENT-210,BUG,BUG,Exception handling in HttpClient requires redesign
HTTPCLIENT-213,BUG,BUG,Authentication fails with proxied SSL Connections
HTTPCLIENT-216,BUG,BUG,Cookies with null path attribute are rejected in the compatibility mode
HTTPCLIENT-22,BUG,BUG,shouldn t automatically set Content-Length in request header
HTTPCLIENT-220,BUG,BUG,HttpClient does not properly handle application x-www-form-urlencoded encoding
HTTPCLIENT-221,BUG,BUG,error handling duplicate connection headers
HTTPCLIENT-223,BUG,BUG,URI path resolution problems.
HTTPCLIENT-226,BUG,BUG,HttpMethod getResponseBody throws NPE
HTTPCLIENT-227,BUG,BUG,Missing Content-Length header causes a SocketException
HTTPCLIENT-228,BUG,BUG,Request with DIGEST authentication fails when redirected
HTTPCLIENT-236,BUG,BUG,URI.normalize error
HTTPCLIENT-239,BUG,BUG,Redirect 302 to the same URL causes max redirects exception
HTTPCLIENT-24,BUG,BUG,Exception shouldn t be thrown for unsupported authentication method
HTTPCLIENT-25,BUG,BUG, httpclient Incorrect credentials loop infinitely
HTTPCLIENT-261,BUG,BUG,infinite loop on 302 redirect with different host in Location header
HTTPCLIENT-264,BUG,BUG,Crashes when it gets a redirect
HTTPCLIENT-265,BUG,BUG,Error releasing chunked connections with no response body.
HTTPCLIENT-268,BUG,BUG,Socket streams are closed in the incorrect order.
HTTPCLIENT-269,BUG,BUG,HttpConnection.isResponseAvailable calls setSoTimeout but does not catch IOException
HTTPCLIENT-270,BUG,BUG,return value of PostMethod removeParameter
HTTPCLIENT-271,BUG,BUG,PostMethod setParameter
HTTPCLIENT-273,BUG,BUG,ConnectionTimeoutException doesn t releaseConnection
HTTPCLIENT-275,BUG,BUG,problem with isIPv4address for relative uri s
HTTPCLIENT-279,BUG,BUG,Connections are not release when a recoverable exception occurs.
HTTPCLIENT-280,BUG,BUG,Freezes w MultiThreadedHttpConnectionManager
HTTPCLIENT-281,BUG,BUG,DefaultHttpParamsFactory violates applet sandbox
HTTPCLIENT-283,BUG,BUG,Invalid cookie causing IllegalArgumentException
HTTPCLIENT-286,BUG,IMPROVEMENT,Manually set Cookie Authorization headers get discarded
HTTPCLIENT-289,BUG,BUG,MultiThreadedHttpConnectionManager daemon Thread never GC d
HTTPCLIENT-290,BUG,BUG,MS Proxy with NTLM authentication set up does not work
HTTPCLIENT-292,BUG,BUG,NTLM Proxy and basic host authorization
